city,date,temp_max,temp_min,humidity_max,humidity_min,wind_speed,precipitation,pm25,pm10,no2,so2,o3,co,AQI
Colombo,2025-05-11,31.4,25.1,95.0,63.0,16.0,1.3,1.2216666666666667,5.347666666666667,0.359,0.325,27.987333333333336,71.49666666666667,1.2216666666666667
Colombo,2025-05-12,31.3,25.4,95.0,64.0,18.4,5.0,1.3396666666666666,5.281666666666666,0.3481666666666667,0.31066666666666665,22.465,63.822166666666675,1.3396666666666666
Colombo,2025-05-13,30.3,25.5,97.0,74.0,14.1,10.5,1.6525555555555553,6.086888888888889,0.4104444444444444,0.3254444444444444,23.369777777777777,63.06288888888889,1.6525555555555553
Colombo,2025-05-14,31.5,24.9,98.0,66.0,19.9,7.6,2.0606666666666666,7.25911111111111,0.49177777777777787,0.33666666666666667,30.52622222222222,65.68366666666667,2.0606666666666666
Colombo,2025-05-15,31.1,25.7,96.0,66.0,17.3,3.5,2.1734444444444447,8.071333333333333,0.5481111111111112,0.36844444444444446,42.22877777777778,70.56911111111111,2.1734444444444447
Colombo,2025-05-16,30.5,25.4,97.0,70.0,17.7,7.1,1.900186666666667,7.96176888888889,0.48785777777777783,0.35645777777777776,49.21732,72.09358666666667,1.900186666666667
Colombo,2025-05-17,30.4,24.9,96.0,64.0,15.4,8.6,1.551631111111111,6.983324444444445,0.4543022222222223,0.35845777777777776,41.75098666666666,66.30614222222222,1.551631111111111
Colombo,2025-05-18,28.3,24.8,98.0,82.0,15.5,17.8,1.533853333333333,6.007435555555556,0.44663555555555556,0.3306800000000001,29.89832,61.80869777777779,1.533853333333333
Colombo,2025-05-19,28.4,24.9,92.0,79.0,20.0,15.5,1.6366666666666665,5.230333333333334,0.46822222222222226,0.2952222222222222,18.973444444444446,58.4958888888889,1.6366666666666665
Colombo,2025-05-20,29.8,25.2,91.0,69.0,20.9,11.6,1.9125555555555556,5.702222222222224,0.42900000000000005,0.26999999999999996,15.091333333333333,56.68055555555556,1.9125555555555556
Colombo,2025-05-21,29.4,25.3,93.0,70.0,18.1,4.1,1.8418533333333333,5.773520000000001,0.3970622222222222,0.25394222222222224,13.828128888888891,56.91469333333335,1.8418533333333333
Colombo,2025-05-22,30.2,25.7,96.0,76.0,15.4,20.9,1.7150755555555557,5.633186666666668,0.39095111111111114,0.29538666666666663,14.486795555555558,57.73324888888889,1.7150755555555557
Colombo,2025-05-23,30.5,25.5,96.0,73.0,18.2,9.2,1.4644088888888889,5.419742222222222,0.3676177777777778,0.3014977777777778,16.006684444444446,57.300693333333335,1.4644088888888889
Colombo,2025-05-24,28.5,26.0,92.0,79.0,20.4,31.6,1.5041111111111114,5.870222222222223,0.3632222222222222,0.3218888888888889,19.121666666666666,55.71688888888889,1.5041111111111114
Colombo,2025-05-25,29.6,25.7,91.0,75.0,21.2,4.2,1.5444444444444445,6.370444444444445,0.3406666666666667,0.3078888888888889,20.706555555555553,53.44055555555556,1.5444444444444445
Colombo,2025-05-26,29.8,25.3,93.0,74.0,23.9,17.8,1.7716977777777783,6.707293333333332,0.35855111111111115,0.3052844444444444,20.910995555555555,52.51547555555557,1.7716977777777783
Colombo,2025-05-27,29.3,26.6,91.0,77.0,24.4,2.8,2.1396977777777777,8.356404444444445,0.3512177777777778,0.30884,20.801773333333333,52.04136444444445,2.1396977777777777
Colombo,2025-05-28,30.1,27.0,88.0,75.0,26.9,2.8,2.71992,10.181404444444446,0.37710666666666665,0.32006222222222225,20.88521777777778,52.365475555555555,2.71992
Colombo,2025-05-29,30.3,25.7,89.0,72.0,27.4,16.3,2.899888888888889,10.656333333333336,0.3625555555555556,0.3118888888888889,20.90588888888889,52.152333333333324,2.899888888888889
Colombo,2025-05-30,28.6,26.2,89.0,80.0,28.6,16.6,2.910555555555556,9.57311111111111,0.3875555555555556,0.293,20.214111111111116,52.89600000000001,2.910555555555556
Colombo,2025-05-31,28.9,26.4,90.0,77.0,22.7,12.0,2.7011644444444447,8.298764444444444,0.4043733333333333,0.28488444444444444,19.583400000000005,53.70919555555557,2.7011644444444447
